"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R15","","TopLayer","R0603","2180.000","3465.000","0",""
"R13","","TopLayer","R0603","2595.000","3382.441","270",""
"U4","MPU-6050","TopLayer","QFN-24_4x4x05P","2415.000","3440.000","90","???"
"R17","","TopLayer","R0603","2190.000","3285.000","90",""
"R16","","TopLayer","R0603","2250.000","3285.000","90",""
"C17","100nF","TopLayer","CAP_0603","2596.014","3507.214","90","CAP CER 0.1UF 50V X7R 0603"
"C15","33pF","TopLayer","CAP_0603","2495.512","3580.000","0","CAP CER 0.1UF 50V X7R 0603"
"C14","100nF","TopLayer","CAP_0603","2407.214","3298.986","0","CAP CER 0.1UF 50V X7R 0603"
"C12","100nF","TopLayer","CAP_0603","2288.986","3492.786","270","CAP CER 0.1UF 50V X7R 0603"
" ","R_Heater","BottomLayer","HEATER","1616.531","3402.656","180",""
